RMS,Peak,Crest_Factor,Kurtosis,Skewness,Variance,Peak2Peak,Energy_B1,Energy_B2,Energy_B3,Energy_B4,THD,Wav_E_approx,Wav_E_D4,Wav_E_D3,Wav_E_D2,Wav_E_D1,Label,Description
1.0098,1.393,1.3794,3.4935,0.6993,0.0039,0.5865,1.264048,0.0006,0.000657,0.000989,2.0237,0.997,0.0003,0.0005,0.0008,0.0014,F0,Normal (sain)
0.9131,1.393,1.5255,1.8666,-1.8992,0.1546,1.6129,1.051823,0.001836,0.001033,0.001799,1.4416,0.9806,0.0054,0.0056,0.0042,0.0043,F0,Normal (sain)
4.0126,6.8182,1.6992,-1.1881,0.0236,15.8301,13.5386,0.885714,0.063725,0.281996,13.295013,0.4272,0.06,0.0036,0.005,0.0205,0.9108,F0,Normal (sain)
4.7585,6.8182,1.4329,-1.508,-0.3084,21.7923,13.2942,19.969416,0.051531,0.02867,0.443642,3.1169,0.7466,0.062,0.0064,0.0052,0.1799,F0,Normal (sain)
4.1027,6.4272,1.5666,-1.464,-0.0319,16.7781,12.0235,12.685838,0.011081,0.00152,0.001736,4.3391,0.9159,0.0815,0.0018,0.0006,0.0002,F0,Normal (sain)
4.1254,6.6227,1.6053,-1.4737,-0.0338,16.9747,12.1701,12.650466,0.010434,0.001172,0.001729,2.9667,0.922,0.0751,0.0021,0.0005,0.0002,F0,Normal (sain)
4.1346,6.5249,1.5781,-1.4819,-0.0534,17.0676,12.1212,12.672683,0.012167,0.002445,0.002996,3.8297,0.9097,0.0846,0.0046,0.0009,0.0002,F0,Normal (sain)
4.1056,6.4761,1.5774,-1.4662,-0.0676,16.8402,12.0723,12.652606,0.01182,0.00135,0.00204,4.5199,0.9062,0.0888,0.004,0.0007,0.0002,F0,Normal (sain)
2.5548,4.4721,1.7505,-1.131,0.0306,6.3808,8.3089,4.929587,0.005907,0.002231,0.002313,1.4637,0.7894,0.1865,0.0219,0.0016,0.0006,F1,Court-circuit ouvert — switch 1
3.7883,6.3294,1.6708,-1.4998,0.0911,13.9832,11.7791,10.710471,0.006837,0.002633,0.127763,1.8446,0.9158,0.071,0.0029,0.0008,0.0096,F2,Court-circuit ouvert — switch 2
3.8312,6.4272,1.6776,-1.488,0.0964,14.2409,11.7791,10.898666,0.005857,0.001838,0.181401,8.0529,0.8937,0.0853,0.0045,0.0008,0.0157,F2,Court-circuit ouvert — switch 2
3.7729,6.3783,1.6906,-1.4882,0.0768,13.8695,11.7791,10.704358,0.004891,0.002244,0.16467,4.4533,0.9163,0.0698,0.0021,0.0006,0.0112,F6,Court-circuit ouvert — switch 6
3.7693,6.3294,1.6792,-1.4774,0.0701,13.8525,11.828,10.72832,0.00433,0.002027,0.194878,3.9648,0.8946,0.0859,0.0035,0.0004,0.0157,F7,Court-circuit statorique
3.7621,6.4272,1.7084,-1.4761,0.0658,13.8012,11.7791,10.708374,0.004712,0.00237,0.200583,3.047,0.9016,0.0814,0.0016,0.0005,0.0149,F7,Court-circuit statorique
3.7851,6.5249,1.7238,-1.4862,0.0762,13.9426,11.8768,10.745061,0.005231,0.00201,0.173603,2.247,0.9198,0.0652,0.0026,0.0007,0.0117,F7,Court-circuit statorique
4.0373,6.9159,1.713,-1.4599,0.0217,15.8417,12.6588,11.986259,0.004197,0.001776,0.380745,6.1244,0.8822,0.0816,0.0045,0.0006,0.0312,F8,Surchauffe onduleur
4.0228,7.0626,1.7556,-1.4416,0.0127,15.7255,12.8543,12.019825,0.004206,0.0021,0.453902,14.172,0.8792,0.0845,0.0034,0.0006,0.0323,F8,Surchauffe onduleur
